Log_NR,STANDORT,STANDORT_NEU,Code_grafana,NORD_CHTOPO,OST_CHTOPO,LV_03_E,LV_03_N,HuM,Art,ZUSTAENDIG,BEFESTIGUNG,Doppel_23,Panel_befestigt,Luftung_30s
126,Optingenstrasse,Optingenstrasse,5d922b8eddee,46.95597,7.45045,2600899.9,1200543.3,557.3,Monitoring_intern,TAB,Verkehrsschild,nein,ja,ja
127,Breitenrainplatz,Breitenrainplatz,58c0f9c55c8d,46.95838,7.45415,2601181.1,1200811.8,559.8,Monitoring_intern,ewb,Strassenlampe,nein,ja,ja
128,Schosshaldenfriedhof,Schosshaldenfriedhof,166584a41612,46.95342,7.47165,2602513.5,1200260.3,568.1,Monitoring_intern,Stadtgrun,Mobile_Stange,nein,ja,ja
129,Laupenstrasse_(ZBB),Laupenstrasse,c1c63230dd69,46.94734,7.43639,2599829,1199583.8,540.6,Monitoring_intern,BERNMOBIL,Fahrplananzeigemasten,nein,ja,ja
131,Marzili_Beton,Marzili_Beton,alte_Generation,46.94238,7.44103,2600183,1199033,505,Monitoring_extern,bfh,Mobile_Stange,nein,-,-
132,Marzili_Entsiegelung,Marzili_Entsiegelung,alte_Generation,46.94222,7.4406,2600150,1199015,505,Monitoring_extern,bfh,Mobile_Stange,nein,-,-
133,Marzili_Rasen,Marzili_Rasen,alte_Generation,46.94216,7.4408,2600165,1199008,505,Monitoring_extern,bfh,Mobile_Stange,nein,-,-
141,Viererfeld_2_(Schacht),Viererfeld_2_(Schacht),2512f6b6f8a7,46.96271,7.43688,2599866.3,1201293.1,571.1,Monitoring_extern,eawag_(?),Stange,ja,ja,ja
142,Viererfeld_3_(Strasse_Sud),Viererfeld_3_(Strasse_Sud),34203a10clla,46.96286,7.44009,2600111.1,1201309.4,564.2,Monitoring_extern,ewb,Kandelaber,nein,ja,ja
143,Viererfeld_4_(Strasse_Nord),Viererfeld_4_(Strasse_Nord),cb1330fd71b9,46.96523,7.44165,2600229.8,1201572.8,567.5,Monitoring_extern,ewb,Kandelaber,nein,ja,ja
144,Viererfeld_5_(Mittelfeld),Viererfeld_5_(Mittelfeld),a8386067f2e8,46.96178,7.43481,2599709.3,1201189.5,573.6,Monitoring_extern,Urban_Climate_Bern,Eigene_Stange,nein,ja,ja
151,Ostermundigen_BareTower,Ostermundigen_BareTower,1422c91c94ef,46.95563,7.48114,2603235.7,1200506.4,554.8,Hauptnetz_Ostermundigen,Gemeinde_Ostermundigen,Strassenlampe,nein,ja,ja
152,Ostermundigen_Moosweg,Ostermundigen_Moosweg,71912f0c8afa,46.95813,7.48807,2603763,1200784.8,552,Hauptnetz_Ostermundigen,Gemeinde_Ostermundigen,Strassenlampe,nein,ja,ja
153,Ostermundigen_Wegmuhlegassli,Ostermundigen_Wegmuhlegassli,5754229f73a9,46.95806,7.49371,2604192.2,1200777.3,548.3,Hauptnetz_Ostermundigen,Gemeinde_Ostermundigen,Strassenlampe,nein,ja,ja
154,Ostermundigen_Oberfeld,Ostermundigen_Oberfeld,22164103ffc8,46.9581,7.49792,2604512.4,1200781.4,567.4,Hauptnetz_Ostermundigen,Gemeinde_Ostermundigen,Strassenlampe,nein,ja,ja
155,Ostermundigen_Milchstrasse,Ostermundigen_Milchstrasse,5d30f69ffcbf,46.96241,7.48201,2603301.6,1201260.5,550.5,Hauptnetz_Ostermundigen,Gemeinde_Ostermundigen,Strassenlampe,nein,ja,ja
156,Ostermundigen_Tiefenmosli,Ostermundigen_Tiefenmosli,d89267a081f7,46.94803,7.48412,2603462.3,1199659.8,552.2,Monitoring_Ostermundigen,Gemeinde_Ostermundigen,Strassenlampe,nein,ja,ja
161,Ostermundigen_Schermenweg,Ostermundigen_Schermenweg,d3960c86f92a,46.95821,7.48052,2603188.1,1200793.3,551.8,Monitoring_Ostermundigen,Gemeinde_Ostermundigen,Strassenlampe,nein,ja,ja
162,Ostermundigen_Poststrasse,Ostermundigen_Postgasse,db897f1683fc,46.95867,7.48222,2603317.7,1200844.3,551.5,Hauptnetz_Ostermundigen,Gemeinde_Ostermundigen,Strassenlampe,nein,ja,ja
